ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
35,Pixelmon - Generation 1,https://lh3.googleusercontent.com/hqDSpTYhSy--C3l8Q0yKGGCs1h9DSwlqvNGK3WXh3QS-ce-VYWOfo-F8unGDdGhhJA6v8Vqw6mYyMr8MPecCEYHVAKXh4tn24THo=s120,ETH,0.24,5356,10005,-0.862954644372597,157.633223462561,0.09754934533428,14.535285,-0.294630943704095,13111.6324210737
36,adidas Originals Into the Metaverse,https://lh3.googleusercontent.com/_wXtGDZ07ZelRfyfqDQkhoTX_feD_w3wdFuJ25z2ZLA1R6GFzuQ2jOGURRS8d7UEJGJd1svd61tZnGRS4zN-VXTUUVmg8Wymt-Uk=s120,ETH,1.18,21808,1,-0.165647648943648,489.73808999001,0.037914348529396,67.17911,-0.084425905165208,27371.7744438925
37,GNSS by MGXS,https://lh3.googleusercontent.com/DZWZqpzB2oziNcsKBwjLVJScJuJYOajr_hgy6p5OxM_iy4is4Rec9GDCkrRrPNwGC3kh9NamwSFlK2gd4FM9oBqCZsBGdDiDa564XCU=s120,ETH,0.91,4411,2528,0,5151.4496897163,-0.672870612468987,445.7345588,0,5151.44968971634
38,Psychedelics Anonymous Genesis,https://lh3.googleusercontent.com/9VndAx-5SvVdamB8KvABGcw2bdXMdeyEYdhHJ22WMV98C2yS85SDT5rnBtT0zOxVjeJ6KBz2fXKXcYSIXeOc7aGiU4i0Rx9IwaMfO9o=s120,ETH,3.23,6000,9595,0.358952810103709,491.706309677419,0.084121582454155,64.1,0.513836482762536,18850.9438661368
39,Decentraland,https://lh3.googleusercontent.com/5KIxEGmnAiL5psnMCSLPlfSxDxfRSk4sTQRSyhPdgnu70nGb2YsuVxTmO2iKEkOZOfq476Bl1hAu6aJIKjs1myY=s60,ETH,3.82451937,6839,97367,0.403794882605374,1367.14899514,-0.362322472818455,71.5852126,-0.493422173747433,262394.393603131
40,VeeFriends,https://lh3.googleusercontent.com/5y-UCAXiNOFXH551w5bWdZEYOCdHPwbqmcKb-xa3uVQEjQgxvih3HtZWSmzqDqd0uk7kIqFrZhw32Gt6xPBFg4t_n9BKhpou-dwnOg=s120,ETH,15.9,5246,10255,-0.267704096770701,1417.6698,-0.459316579834508,105.855,0.295429739126933,45233.8161493706
41,World of Women,https://lh3.googleusercontent.com/7rQxqp2cAN4J-pFJ6A22Ncb_tm2j6Lz61zXMi9bNJbmAk8PheVXcL4zVIZptVQ8_owbOJAiYuhSbn0vtjwcE4Jg7FQqDGwZTndd-_A=s120,ETH,8.7,5153,10000,0.30783887807741,1058.4667,-0.365984621399713,121.62,-0.661416481851137,56339.8470531263
42,HAPE PRIME,https://lh3.googleusercontent.com/5VAunHscTO5Nt8WgCezb0i2oVskplFVhVgwmvISfiWQlrBulCxUL7zCYUkRfVF04_47QmNlpWqqdfVraThlhLBEZjuWzajmYDYc9vOc=s120,ETH,1.73,5715,8192,-0.159464011863494,457.81897589,0.106100749242787,69.3857,-0.908796023688177,50647.6444741179
43,DentedFeelsNFT,https://lh3.googleusercontent.com/0E-6rL-B-dLFiu-9tipTI7zXaaK0DHEQ4699BVC0nMQ9XRIqgeJ7XrhER-bXYSEsSIex-5CW2fr7bUaCFV-978YiWABy8nKYrxOp=s120,ETH,0.1745,5897,11111,-0.865247565686935,191.926390863177,-0.24195598306619,14.9229,0,4039.24338696296
44,RaidParty Fighters,https://lh3.googleusercontent.com/xFWORGa69G8bUyY9cDTO-33PSBKd2Ua8GoPQj_0v1xyYgyUYRR05QJi7Fl4Xv75Vdxm-j8Ov5m9hIpR6tw246IGAOGP7vB4VTulYnA=s120,ETH,0.798,585,8119,-0.141204926689645,1496.14795202934,0.605825086014484,297.49736968779,-0.24182682288428,9334.42173688413
45,Clementines Nightmare,https://lh3.googleusercontent.com/rb3CzNFCXwT3kzh9pxKVnMMegerJAWTblo9A1aQi2ZZeB2Bm9K8-xhdRSrdHktvLMHCTxwAGvdVFsIo7pTwpE4erRNg50sX4_3EWTKo=s120,ETH,0.36,3462,5000,-0.765683444626395,153.140314711074,-0.141161665251352,9.246,0,3890.98536525868
46,Bored Ape Kennel Club,https://lh3.googleusercontent.com/l1wZXP2hHFUQ3turU5VQ9PpgVVasyQ79-ChvCgjoU5xKkBA50OGoJqKZeMOR-qLrzqwIfd1HpYmiv23JWm0EZ14owiPYaufqzmj1=s120,ETH,8.14,5453,9602,1.17056769089049,1242.703399,1.5136222514661,393.4774,-0.696211628097361,66864.4675993794
