ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
28,Decentraland Wearables (Polygon),https://lh3.googleusercontent.com/5KIxEGmnAiL5psnMCSLPlfSxDxfRSk4sTQRSyhPdgnu70nGb2YsuVxTmO2iKEkOZOfq476Bl1hAu6aJIKjs1myY=s60,ETH,0.00037721,168072,688911,0.392199932350348,11.326133123,-0.0725047183181,2.39782057,-0.194670346903808,261.003663109871
29,GFARM2 NFT 5,,ETH,13,22,84,-1,0,0,0,-0.247491638795987,162.45
30,PolyFarm Official,https://lh3.googleusercontent.com/S08_BnOf9FWz9fvc2_3p3GmztfVFBl-drQ9Fs0KFLsHNA7CGBLhyGqcdigvtM59UHHsU7Y4wBW9hHd6ccgKpRMudeK_GaHj_Hn7ERQ=s120,ETH,0.0545,1410,10008,-0.125855485407842,9.54231099999999,-0.745568029127476,0.587,-0.184017945300159,266.322905498895
31,Crypto Cannabis Club NFTokins,https://lh3.googleusercontent.com/KbcsxsxBMQcrDMdz0cx234KEI3183wmsZ9fJCh3y_4B8PLhXP28QLuLTXxgy71gGdETh2gCU7A6VGcr-UqkL-fZ6AVQfWd9RoMEbkw=s120,ETH,0.03898,3711,12999,-0.40768620019186,5.49586,0.265991471215352,1.0925,0.763844454134756,269.0701034466
32,MiniGoros,https://lh3.googleusercontent.com/ytC_ynU69zi8KiwRGPVRrF-Q9ZiYTukXzKHZZyTOHXaYbI0bmc_2tlQNs9He3dmgKfKhEDPODisZFikp9AZ6NM9HDTgsxJ-gV4wzJw=s120,ETH,0.016,1566,9977,-0.768510295920791,1.0818,2.77502383222116,0.396,21.6477974886808,51.7854548999998
33,FancyBabyBirds,https://lh3.googleusercontent.com/Lb3i4-CApWQvTemyID8Groes-qhGUmskGnp6tRqy4a852LHiMabZkfY01jbubW687iAM2KsxGVG5XTWFS6YacjlAMTXXb4-8YCtvWQ,ETH,,878,5096,-0.624112309847676,10.8206,-0.278642333867961,1.6641,0,39.6073899999998
34,Infinite Moments,https://lh3.googleusercontent.com/ANcRsf-SUAPJdgpC0SQz03OerhwSuv-COyfczv_bleH-hErIyYPJYQIXKLM8dGWO93jqpjYVpdERcqFqp8otNAsYGYoM0C-Rfsuy=s120,ETH,0.00198,812,618,0.967696020932432,18.4557208897999,1.08292995679497,6.86274388980002,-0.45175921373235,106.543565349595
35,The Flower Girls: Special Editions,https://lh3.googleusercontent.com/wVxeC1CNC4PgOvCzlcdRPUhRMAKKkBNsV0zVsmTMubflnC8jFIJtcWl6pWGgbMuVB_nZJiqbD5YgieN1FJVNhp11oQdVVaBIc3A7Aw=s120,ETH,,6202,18,-0.744091715990051,3.184232,-0.368723793414409,0.24781,0.122179406823265,78.0809006271801
36,Amazon Green Wall Club On Polygon,https://lh3.googleusercontent.com/4TaoLXAoGr-7WudW3ayXi7w0MV1KCk7EGUO8XyMlpHS8kDitObwF7b6HB8WnSJ0ZcBogTtj-2WdtLxIxlsWgrpHXKNyBbxSG49kV=s120,ETH,,49,2,0,3.49911,0,0,0,35.265335
37,Alien Fat Boi Club,https://lh3.googleusercontent.com/5lJXqIhBYaFVteOtPDVpVPGwtzOPtHNBgO-FoQ4-yCVZfeeslTv4eovPasjpiRwgBSCzK_FLguoOpqzEhe7FNgyygAY966TYvTpGyg=s120,ETH,2.5,11,100,0,20.362,-1,0,0.189146215001728,63.332
38,Firestarter Metaverse Champion,https://lh3.googleusercontent.com/GVN1BmN20p7qF3vi5sbUsCVimD8IPGxk-yfja1Ld2rKV565ZFAEdZF8F73uRKbDIvk8w6x_7tJfcgYt6-UyEqSpnbYQb8EQzNIsQKQ=s120,ETH,,202,227,-0.603603603603603,2.2,-1,0,-0.468949872396736,465.730537272
39,Fantasy Land by PolkaFantasy,https://lh3.googleusercontent.com/DecKgvEZ-CSfB4SwwQPRox4tCkZsQEOCqxidoOm0nFSqxFZV3p0Wvycr6yYEFvWZAMWYcZP56k-DMol7Sda0J3GDv6CNIzznGvK9=s120,ETH,,1463,3766,0.375807369520585,8.7852042,-0.809052333804809,0.675,-0.364867554812116,84.8484941999999
40,Hero Galaxy Artifacts,https://lh3.googleusercontent.com/DduOoAikAyFHfZG0FNqYQl3lcdnr5s5FWRtHUuzAcantq7RDCnnROEHOH5hVzYyfxS87t5ugD7hfdfr-jb9dnyDSo2am0G29hR1ko2I=s120,ETH,0.135,1135,2666,36.747142857131,31.70759999999,0.061064030131827,4.5074,0,32.54759999999
41,adidas for Prada re-source,https://lh3.googleusercontent.com/nMPxX6zMqJTQ4bovChfFylRSqEkdGuS-bvWPiJ5_TkFR_ghUVUdbUQB1mYz08JymVhFsQXj_PyedYGlLBHqU3vLVG15P778OM143GA=s120,ETH,,2785,3030,0.046789435425006,4.320099999999,-0.702951857714871,0.319,-0.925336393940019,447.549577978988
42,MetaSoccer  Youth Scouts,https://lh3.googleusercontent.com/JZTuy0tsGfGUy_oazi1H571fE48IlK8vbv_cHKHSc9llPtcoYjIm-_0OisDq6gdRWOqfHtulkkhY5zL1lIi7OnP_hnuVNXBErTux=s120,ETH,,801,6704,0.010551089068251,6.3979,11.0261256253474,2.1635,-0.741041052194263,138.6224882
43,Voxie Tactics Items,https://lh3.googleusercontent.com/c8J3Pg-6LjhGi6lKQ_oPXXbBJ08FpyLRz83ulPraoaqSCdtJm1zUv454nFIXcBpKJFnvnv50MkSpEfIOrs1rnxKAixjbT0_zyz2gHQ=s120,ETH,0.00249,1360,4705,0.477124562425025,8.422387,0.180102379372452,1.24489,0.388869174857904,53.3832454000002
44,Polyflip NFT,https://lh3.googleusercontent.com/Fi-xoXOrpFHcUy3QpKgFf9kLojEhm0OBbCrD0V1SMzG0PlnngV36PqfCKNCHCNhnIKnGqqkYO8UTSYcBj1m3aAK-FjhvEdY_goXJzTw=s120,ETH,,299,949,0.285803242162769,10.2385799,0.239180327868852,0.7559,0,27.72716888
45,PolkaFantasy Game,https://lh3.googleusercontent.com/FFidlqDMatgMYUnWCU4dG-aFyKyrJE5-oPSQ6PW2aKTooym8fLPnTGqq4Rp68ysTnw4El6iuajNjP7iVwpJ4-KPWMUVlZvaoTYO6,ETH,,783,8102,-0.820673024224488,1.4724,0.772554002541296,0.279,0,26.6666
46,Ape Not Kill Ape,https://lh3.googleusercontent.com/Gecy8q_rruzBL2omFCWmDRft7DJfYNlVF99BUpG3kPtjM1PmwkPGNP_IABN9aCP7peHtbDE8b9IVO0-H1kEHh8VTytG6P6rezddjGg=s120,ETH,0.00182,411,3158,-0.992237854090996,0.100503,-0.744856234179269,0.003931,2.92743206972287,32.4788116922222
47,GFC Genesis Weapon,https://lh3.googleusercontent.com/AG-bMrIZAa8Gby3GSuacvR7KWfD3AIvFD1H7r9-3z_iIm1GI9n6NBt573G_xeQq-RggWtmJkU27wLX9sE_ZJViL-wFpd88y8ewjT6g=s120,ETH,0.029,1444,48,0.042774068013974,4.71605,-1,0,-0.840565782033906,329.61840444434
48,Royal LDAs,https://lh3.googleusercontent.com/UB1LDoe50XlszRwIUb3KS226G8Xzx_wSyPI26dWhD5LUEITInjw63JGt39Y4SoE0gqQiZuMaieUUCmQS2jAHn1TwVgX_qkEPpws4=s120,ETH,0.07,2367,3155,-0.401338851045629,4.3907,1.66604737575476,1.722,-0.937347327462327,410.357907482104
49,Cupid Love Metaverse,https://lh3.googleusercontent.com/movZHmWTS3Gk6uQvSI5aNrTnURdg6UquTE5Mk8H0G-XocwfPMzx-_SPjsjEHqkLS3S1WUD92-R0I4hF7kn_VBog8o8aADim8WCKTIg=s120,ETH,,2478,9999,1.72727272727273,0.3,0,0,6.96357585313847,28.099762673
50,ZED RUN Skins,https://lh3.googleusercontent.com/Q19fJSGvGRRru8FGkpIm734cXNEo9Ag0bXA4X5r4Zboe6TyZRzCM6z_C9vIGhiahvlC5ZZ1YytUVi3MaSP41gqJnrFwa1OVJDsxx=s120,ETH,0.07,519,1117,-0.052844077368682,7.553,-0.316831683168317,0.069,1.89206187736064,49.891689799
51,Pixel Heroes X,https://lh3.googleusercontent.com/tbr3Js8ZYCUPcYGcLZxVoREVzkpAioZ-8GEu6SPkThfFnwVlDBnSwi95IeKSYrD8SoV4ap35eRxN2luE4wRtGeNBxjX0SGbQQg7b_g=s120,ETH,0.011,1414,5555,-0.66402815594952,0.4542,-0.25561797752809,0.0795,-0.217637440603228,52.0969620380001
52,G-Bots by GAMEE,https://lh3.googleusercontent.com/ehcqd2PHRzGyDDSBly6JqZ-xY0YVU96ohGrLxuWY5ZS_s39PI2bsLJl3bPmCTTsxIvI-k2v_6dRz1RRATxugnRz1aVrVO07t-Rstfw=s120,ETH,0.042,2218,3457,0.520310113225125,8.48606699,1.06594491984161,1.393046,-0.557501581078704,254.26348963699
53,QORPO | TradeRaceManager,https://lh3.googleusercontent.com/PdVUBW8gk_wt5_Ll9pxeSjq8RLKxuycsQg3suSgiyPy6Pu79on3PR5nEQSQVemAZ7V5YpBDltG63VEiFyfkOd0hYOTeQzz8E4up1PA=s120,ETH,0.0119,251,55,0.014055005624297,9.014949,0,0,2.94439327471963,99.853746246977
54,Golden Grenade,https://lh3.googleusercontent.com/wsylGTxIS3LH-hBNcYch36h606nkdUsr69qJw0wGw_V22J-cLSnT1aLpvdRoqkataRYhtThwQzLNRap9BDfHF2KtlKzgBrRimNzY=s120,ETH,3,271,500,-1,0,0,0,-0.577045908183633,102.774
55,Ethernity's Master Collection,https://lh3.googleusercontent.com/GId53RudYB4l7e6Irj3_5JGyC3bwybdotwXAEgGaq4KCqjtfQChbolTQSJRYzb1bYrHM_G9xH4Il9vh_CM3ZPtMTwSgtkU5Wu7RVVQ=s120,ETH,0.013,8023,21408,-0.712806002787724,3.4409,-0.588785046728972,0.11,-0.274756197741069,1203.78586565923
56,Crypto Raiders Mounts,https://lh3.googleusercontent.com/44XZseVPcTMuIseriL_HWueJ1pVaTp7p5JbMlAyQccPRCE3IsbOohEZ9WzKH0zOlmXIUsEH8NIULCA5PunKfNhTAi2yhXyVim745OA=s120,ETH,,555,3654,-0.066407060753714,4.723,-0.214587737843552,0.743,-0.816842253647901,252.032916999999
57,Courtyard,https://lh3.googleusercontent.com/d0wnTQxaVJ3DX6tqx0Xz4lTWde396hPu1snh9NhJuaxkcucWBr9gBOguIsnD3k2uYN7_5V0iyxRUYzlwLXG0hmJQ2UtnIaOwlNbh=s120,ETH,0.35,409,801,79.6634653861545,20.1578,-0.4188221557671,4.878,0,20.4077
58,Bored Punks of Society,https://lh3.googleusercontent.com/SpA7eYqISuQykp2ChT_RH_m-Ef2oYxHs_5eb9USs7Wfo2RBV2j-v1AHEAvmuXpTxxWRpozZLas6t0g-TASJ25o9x0b3zDTDU6Iig8hc=s120,ETH,0.0299,3185,7638,-0.516281031043005,2.6355399,-0.750349118426871,0.143,-0.868091992653591,206.716420727945
59,CinSity DAO Founders Pass,https://lh3.googleusercontent.com/sM6EsrnhibURAaLn9wvjN3gtD9NHOGv_PgGeFjNUMYiTRqTDbgpLtXDcCm55Yp88j8eBH8kgq0p1CEgIdzkV4KsCwRldoaUq-tBKUA=s120,ETH,,178,1000,1.8875,1.155,-0.68421052631579,0.15,-0.084035039442309,42.0413000000005
60,CryptoGoros,https://lh3.googleusercontent.com/H5T7Oiasej07YZMdfTgreyLFn50Nvf0ktv6uDC0T_omtkW7NkxhEFv1osCgIXmFNzmmhff238D93R14SKz4dXJUK-D0bvayPgUmzxw=s120,ETH,,84,258,-0.325906840148245,2.2081,-0.7962,0.2038,10.5446498400284,21.17286
61,DeRace Liquid Love,https://lh3.googleusercontent.com/m7Yexzidqpm11U8tIUiuWSzT_HiTSigr-307kjUAx5Zd51u0OuwDNxvMapUn_-7M2PXwDi-1_FomI59FzSDsKiOWKLAfQ6KC-863=s120,ETH,0.062,274,971,-0.516205354306773,1.6297,1.03450292397661,0.3479,-0.30332481573189,47.143138
62,PolyFarmers,https://lh3.googleusercontent.com/a6-_7gu3nKNaqAGVPxhWb7J_Cy_rHGNohTD9npTe8SWUtemFQtyr3zIBErDimQ1nWWb_yEbZvUVbMq7bO8UofaSeEBK9LxhB7aPDOIo=s120,ETH,,1564,4672,-0.672735034295951,4.65961988,-0.489206430868167,0.397142,0,18.8976849596998
63,Cryptoys Classics,https://lh3.googleusercontent.com/8LfTGwMvwMkyoNaBKrwih8iF3sx2gWZ4d9K1YqkxVf0P-_7VaDhTLPFjv14FPkAClq8fqNSDahH0BW32ceotlfAYNcWVqk3HMUnHbw=s120,ETH,,2728,3862,1.65294351630867,6.6695,12.9621428571429,1.9547,-0.619098938508038,176.1452910324
64,Metapass Genesis,https://lh3.googleusercontent.com/oeoj0gZ-im6Ya6lLsi3GA6GXS0P2MpCZ1qV0z8QnnRfhP9WHshXjMhfE5HFUV2xVtqZGPfqDj7usePZRr2SjglRG6aqkvcu6M3DPX9c=s120,ETH,,90233,3,-0.398304877651508,0.812386,-1,0,0.333474243181391,32.7373103721635
65,PolyFarm Land - Official,https://lh3.googleusercontent.com/uvejkwyhLhOUcFMNT2oO7yT9KnbuxORzTPmg61PTLnvk54Bfw1hxc6-f2W7FnMeHJdVx3k6NZHuoKg9vinx_-kGOp4tdntyA7nvudw=s120,ETH,0.136,839,2000,-0.062338556914069,5.445,-0.8073612591196,0.235,-0.176680323951532,47.97177
66,Elon Punk Yacht Club,https://lh3.googleusercontent.com/Clj3O3kdijnKk1jGiZLzLAG-G8eCiQjzSfUjXiUt_ER-gwvdf7K7WlTy_WTrfqeRyw4pSW1HbFGEU4MV-UdVq_1pE60UPassVND8HA=s120,ETH,0.0018516,2071,6969,-0.457504553242583,0.4021139,-0.840864466260939,0.035823,-0.553961656266863,55.8301539864631
67,GFARM2 NFT 1,,ETH,,115,186,3.54545454545454,5,0,1,-0.070254957507082,46.8665
